Adipose_Subcutaneous;
Adipose_Visceral_Omentum;
Adrenal_Gland;Adrenal_Gland
Artery_Aorta;
Artery_Coronary;
Artery_Tibial;
Bladder;
Brain_Amygdala;Brain
Brain_Anterior_cingulate_cortex_BA24;Brain
Brain_Caudate_basal_ganglia;Brain
Brain_Cerebellar_Hemisphere;Brain
Brain_Cerebellum;Brain
Brain_Cortex;Brain
Brain_Frontal_Cortex_BA9;Brain
Brain_Hippocampus;Brain
Brain_Hypothalamus;Brain
Brain_Nucleus_accumbens_basal_ganglia;Brain
Brain_Putamen_basal_ganglia;Brain
Brain_Spinal_cord_cervical_c-1;Brain
Brain_Substantia_nigra;Brain
Breast_Mammary_Tissue;
Cells_EBV-transformed_lymphocytes;
Cells_Transformed_fibroblasts;
Colon_Sigmoid;
Colon_Transverse;
Esophagus_Gastroesophageal_Junction;
Esophagus_Mucosa;
Esophagus_Muscularis;
Heart_Atrial_Appendage;Heart
Heart_Left_Ventricle;Heart
Kidney_Cortex;Kidney
Liver;Liver
Lung;
Minor_Salivary_Gland;
Muscle_Skeletal;Muscle_Skeletal
Nerve_Tibial;
Ovary;Ovary
Pancreas;Pancreas
Pituitary;
Prostate;
Skin_Not_Sun_Exposed_Suprapubic;Skin
Skin_Sun_Exposed_Lower_leg;Skin
Small_Intestine_Terminal_Ileum;
Spleen;
Stomach;
Testis;Testis
Thyroid;
Uterus;Uterus
Vagina;
Whole_Blood;Blood
